Date,Value
2014-11-27,1.5741
2014-11-26,1.5794
2014-11-25,1.5707
2014-11-24,1.57025
2014-11-21,1.5653
2014-11-20,1.5693
2014-11-19,1.56845
2014-11-18,1.5637
2014-11-17,1.5642
2014-11-14,1.567
2014-11-13,1.571
2014-11-12,1.57845
2014-11-11,1.592
2014-11-10,1.5845
2014-11-07,1.5878
2014-11-06,1.58315
2014-11-05,1.5973
2014-11-04,1.5997
2014-11-03,1.5975
2014-10-31,1.6009
2014-10-30,1.60005
2014-10-29,1.6012
2014-10-28,1.61365
2014-10-27,1.61245
2014-10-24,1.60885
2014-10-23,1.60285
2014-10-22,1.60475
2014-10-21,1.61145
2014-10-20,1.6169
2014-10-17,1.60915
2014-10-16,1.60845
2014-10-15,1.60205
2014-10-14,1.59115
2014-10-13,1.60995
2014-10-10,1.607
2014-10-09,1.61185
2014-10-08,1.61745
2014-10-07,1.60955
2014-10-06,1.60805
2014-10-03,1.5972
2014-10-02,1.61435
2014-10-01,1.61815
2014-09-30,1.62115
2014-09-29,1.62425
2014-09-26,1.62515
2014-09-25,1.6315
2014-09-24,1.63415
2014-09-23,1.63935
2014-09-22,1.63625
2014-09-19,1.62965
2014-09-18,1.63715
2014-09-17,1.62715
2014-09-16,1.6273
2014-09-15,1.62355
2014-09-12,1.62595
2014-09-11,1.62285
2014-09-10,1.62075
2014-09-09,1.61165
2014-09-08,1.61085
2014-09-05,1.63295
2014-09-04,1.63355
2014-09-03,1.64605
2014-09-02,1.64715
2014-09-01,1.6609
2014-08-29,1.66045
2014-08-28,1.65895
2014-08-27,1.65765
2014-08-26,1.65445
2014-08-25,1.65815
2014-08-22,1.6577
2014-08-21,1.65805
2014-08-20,1.65975
2014-08-19,1.6616
2014-08-18,1.67265
2014-08-15,1.66945
2014-08-14,1.66875
2014-08-13,1.66895
2014-08-12,1.68125
2014-08-11,1.67905
2014-08-08,1.6779
2014-08-07,1.6833
2014-08-06,1.6853
2014-08-05,1.68835
2014-08-04,1.68605
2014-08-01,1.68245
2014-07-31,1.68815
2014-07-30,1.69175
2014-07-29,1.69465
2014-07-28,1.69825
2014-07-25,1.6973
2014-07-24,1.69885
2014-07-23,1.70395
2014-07-22,1.70655
2014-07-21,1.70775
2014-07-18,1.70855
2014-07-17,1.71065
2014-07-16,1.71375
2014-07-15,1.71445
2014-07-14,1.70845
2014-07-11,1.7122
2014-07-10,1.71325
2014-07-09,1.7154
2014-07-08,1.71305
2014-07-07,1.7129
2014-07-04,1.71555
2014-07-03,1.71545
2014-07-02,1.71655
2014-07-01,1.71525
2014-06-30,1.71115
2014-06-27,1.7035
2014-06-26,1.70245
2014-06-25,1.69795
2014-06-24,1.69875
2014-06-23,1.70285
2014-06-20,1.7014
2014-06-19,1.70435
2014-06-18,1.69895
2014-06-17,1.6961
2014-06-16,1.6981
2014-06-13,1.69655
2014-06-12,1.69115
2014-06-11,1.67905
2014-06-10,1.67575
2014-06-09,1.6803
2014-06-06,1.68095
2014-06-05,1.68175
2014-06-04,1.67375
2014-06-03,1.67525
2014-06-02,1.67485
2014-05-30,1.6762
2014-05-29,1.67175
2014-05-28,1.67125
2014-05-27,1.6806
2014-05-26,1.68445
2014-05-23,1.68255
2014-05-22,1.68665
2014-05-21,1.68995
2014-05-20,1.68415
2014-05-19,1.68195
2014-05-16,1.6812
2014-05-15,1.679
2014-05-14,1.6769
2014-05-13,1.6826
2014-05-12,1.68685
2014-05-09,1.68535
2014-05-08,1.69325
2014-05-07,1.6953
2014-05-06,1.69755
2014-05-05,1.68675
2014-05-02,1.687
2014-05-01,1.68905
2014-04-30,1.6873
2014-04-29,1.68285
2014-04-28,1.68095
2014-04-25,1.68055
2014-04-24,1.68005
2014-04-23,1.67815
2014-04-22,1.68235
2014-04-21,1.6793
2014-04-18,1.6791
2014-04-17,1.6809
2014-04-16,1.67935
2014-04-15,1.67275
2014-04-14,1.67275
2014-04-11,1.6739
2014-04-10,1.6784
2014-04-09,1.67925
2014-04-08,1.67435
2014-04-07,1.6608
2014-04-04,1.6573
2014-04-03,1.6598
2014-04-02,1.6623
2014-04-01,1.66325
2014-03-31,1.6668
2014-03-28,1.6644
2014-03-27,1.66105
2014-03-26,1.6581
2014-03-25,1.65305
2014-03-24,1.64975
2014-03-21,1.64955
2014-03-20,1.65095
2014-03-19,1.65355
2014-03-18,1.6588
2014-03-17,1.66375
2014-03-14,1.6635
2014-03-13,1.66235
2014-03-12,1.66215
2014-03-11,1.66175
2014-03-10,1.6647
2014-03-07,1.6721
2014-03-06,1.67435
2014-03-05,1.67215
2014-03-04,1.66695
2014-03-03,1.6661
2014-02-28,1.6743
2014-02-27,1.6688
2014-02-26,1.66675
2014-02-25,1.6675
2014-02-24,1.66565
2014-02-21,1.66265
2014-02-20,1.6656
2014-02-19,1.66815
2014-02-18,1.66835
2014-02-17,1.67145
2014-02-14,1.67465
2014-02-13,1.66595
2014-02-12,1.65985
2014-02-11,1.64505
2014-02-10,1.6408
2014-02-07,1.6409
2014-02-06,1.63285
2014-02-05,1.63105
2014-02-04,1.63285
2014-02-03,1.63085
2014-01-31,1.6443
2014-01-30,1.64825
2014-01-29,1.6562
2014-01-28,1.65845
2014-01-27,1.65795
2014-01-24,1.6504
2014-01-23,1.66365
2014-01-22,1.6572
2014-01-21,1.6479
2014-01-20,1.64345
2014-01-17,1.64225
2014-01-16,1.6357
2014-01-15,1.63755
2014-01-14,1.64405
2014-01-13,1.6388
2014-01-10,1.6481
2014-01-09,1.6481
2014-01-08,1.6444
2014-01-07,1.64045
2014-01-06,1.64035
2014-01-03,1.6415
2014-01-02,1.64465
2014-01-01,1.65755
2013-12-31,1.6566
2013-12-30,1.6503
2013-12-27,1.6474
2013-12-26,1.6412
2013-12-25,1.63505
2013-12-23,1.63575
2013-12-20,1.63385
2013-12-19,1.63785
2013-12-18,1.6394
2013-12-17,1.62635
2013-12-16,1.63025
2013-12-13,1.62925
2013-12-12,1.6355
2013-12-11,1.63795
2013-12-10,1.64455
2013-12-09,1.64255
2013-12-06,1.6345
2013-12-05,1.63325
2013-12-04,1.6384
2013-12-03,1.63905
2013-12-02,1.6355
2013-11-29,1.63545
2013-11-28,1.6338
2013-11-27,1.6285
2013-11-26,1.6219
2013-11-25,1.61535
2013-11-22,1.6222
2013-11-21,1.61965
2013-11-20,1.61045
2013-11-19,1.61185
2013-11-18,1.61075
2013-11-15,1.61225
2013-11-14,1.60725
2013-11-13,1.60245
2013-11-12,1.59035
2013-11-11,1.5987
2013-11-08,1.6017
2013-11-07,1.6078
2013-11-06,1.608
2013-11-05,1.6046
2013-11-04,1.59695
2013-11-01,1.59295
2013-10-31,1.60325
