Date,Open,High,Low,Close,Volume,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD3_Open,RD_P3_Open,RD_B3_Open,RD5_Open,RD_P5_Open,RD_B5_Open,RD30_Open,RD_P30_Open,RD_B30_Open,RD1_High,RD_P1_High,RD_B1_High,RD3_High,RD_P3_High,RD_B3_High,RD5_High,RD_P5_High,RD_B5_High,RD30_High,RD_P30_High,RD_B30_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD3_Low,RD_P3_Low,RD_B3_Low,RD5_Low,RD_P5_Low,RD_B5_Low,RD30_Low,RD_P30_Low,RD_B30_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD3_Close,RD_P3_Close,RD_B3_Close,RD5_Close,RD_P5_Close,RD_B5_Close,RD30_Close,RD_P30_Close,RD_B30_Close,RD1_Volume,RD_P1_Volume,RD_B1_Volume,RD3_Volume,RD_P3_Volume,RD_B3_Volume,RD5_Volume,RD_P5_Volume,RD_B5_Volume,RD30_Volume,RD_P30_Volume,RD_B30_Volume,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-08-04,2991.300049,2991.300049,2970.399902,2985.800049,0.0,2985.800049,-25.0,-0.828830010074,0,17.600098,0.591858569796,1,95.0,3.28004690097,1,,,0,-25.0,-0.828830010074,0,-53.199951,-1.74741175891,0,77.5,2.6597569736,1,,,0,-12.900147,-0.432411986328,0,-3.300049,-0.110974511698,0,74.099853,2.55843150732,1,,,0,-8.199951,-0.273879458918,0,4.600098,0.154303571569,1,83.900147,2.89121437105,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,-8.199951,-0.273879458918,0,4.600098,0.154303571569,1,83.900147,2.89121437105,1,,,0
1993-08-05,2985.800049,2986.0,2970.399902,2981.199951,0.0,2981.199951,-5.5,-0.183866543306,0,-13.599853,-0.453419131971,0,83.900147,2.89121437105,1,,,0,-5.300049,-0.177182125269,0,-47.100098,-1.55286988488,0,22.199951,0.749036730986,1,,,0,0.0,0.0,0,-29.0,-0.966860070265,0,78.0,2.6967225364,1,,,0,-4.600098,-0.154065842471,0,-38.5,-1.27496110954,0,18.0,0.607451413933,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,-4.600098,-0.154065842471,0,-38.5,-1.27496110954,0,18.0,0.607451413933,1,,,0
1993-08-06,2981.199951,2995.899902,2976.899902,2993.800049,0.0,2993.800049,-4.600098,-0.154065842471,0,-35.100098,-1.16368058316,0,7.5,0.252211054363,1,,,0,9.899902,0.331543938379,1,-20.400147,-0.676330161741,0,-48.600098,-1.59632445393,0,,,0,6.5,0.218825754594,1,-6.400147,-0.214532460526,0,3.199951,0.107608402083,1,,,0,12.600098,0.422651892094,1,-0.199951,-0.00667839011356,0,12.600098,0.422651892094,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,12.600098,0.422651892094,1,-0.199951,-0.00667839011356,0,12.600098,0.422651892094,1,,,0
1993-08-09,2993.800049,3001.699951,2979.399902,2989.300049,0.0,2989.300049,12.600098,0.422651892094,1,2.5,0.0835757015026,1,-5.599853,-0.186699112588,0,,,0,5.800049,0.193599559055,1,10.399902,0.347671642083,1,-31.400147,-1.03524928243,0,,,0,2.5,0.0839799819376,1,9.0,0.30298950636,1,-20.0,-0.666800048458,0,,,0,-4.5,-0.150310639533,0,3.5,0.117221513248,1,-30.399902,-1.00671929309,0,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,-4.5,-0.150310639533,0,3.5,0.117221513248,1,-30.399902,-1.00671929309,0,,,0
1993-08-10,2989.300049,3002.899902,2986.300049,3002.899902,0.0,3002.899902,-4.5,-0.150310639533,0,3.5,0.117221513248,1,-27.0,-0.89513641088,0,,,0,1.199951,0.0399757144148,1,16.899902,0.565971265908,1,-13.400147,-0.44425775892,0,,,0,6.900147,0.231595194568,1,15.900147,0.535286410065,1,3.0,0.100559781139,1,,,0,13.599853,0.454951084771,1,21.699951,0.727893175791,1,8.899902,0.297257915832,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,13.599853,0.454951084771,1,21.699951,0.727893175791,1,8.899902,0.297257915832,1,,,0
1993-08-11,3008.699951,3036.100098,3008.699951,3032.399902,0.0,3032.399902,19.399902,0.648978077878,1,27.5,0.922447351805,1,17.399902,0.581683606291,1,,,0,33.200196,1.10560448511,1,40.200196,1.34184042575,1,44.800049,1.49767820901,1,,,0,22.399902,0.750088793238,1,31.800049,1.06822701625,1,38.300049,1.28939032668,1,,,0,29.5,0.982383727821,1,38.599853,1.2893263534,1,46.599853,1.56071579594,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,29.5,0.982383727821,1,38.599853,1.2893263534,1,46.599853,1.56071579594,1,,,0
1993-08-12,3058.600098,3087.399902,3058.600098,3087.0,0.0,3087.0,49.900147,1.65852852769,1,64.800049,2.164474846,1,72.800049,2.43820911666,1,,,0,51.299804,1.68966115557,1,85.699951,2.85504721987,1,101.399902,3.39584400536,1,,,0,49.900147,1.65852852769,1,79.200196,2.65826000554,1,88.200196,2.96930376077,1,,,0,54.600098,1.80055730657,1,97.699951,3.26832199507,1,105.800049,3.54890818258,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,54.600098,1.80055730657,1,97.699951,3.26832199507,1,105.800049,3.54890818258,1,,,0
1993-08-13,3087.0,3118.100098,3066.0,3112.699951,0.0,3112.699951,28.399902,0.928526158702,1,97.699951,3.26832199507,1,105.800049,3.54890818258,1,,,0,30.700196,0.99437056988,1,115.200196,3.83629823702,1,122.200196,4.07891451642,1,,,0,7.399902,0.241937545377,1,79.699951,2.66885275064,1,89.100098,2.99304984827,1,,,0,25.699951,0.832521898283,1,109.800049,3.65646716785,1,118.899902,3.97153784668,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,25.699951,0.832521898283,1,109.800049,3.65646716785,1,118.899902,3.97153784668,1,,,0
1993-08-16,3112.699951,3115.0,3095.0,3113.899902,0.0,3113.899902,25.699951,0.832521898283,1,104.0,3.45664245999,1,118.899902,3.97153784668,1,,,0,-3.100098,-0.0994226581112,0,78.899902,2.59872532042,1,113.300049,3.77452946162,1,,,0,29.0,0.945857795173,1,86.300049,2.86835013147,1,115.600098,3.87997925094,1,,,0,1.199951,0.0385501660581,1,81.5,2.68764023987,1,124.599853,4.16819492716,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,1.199951,0.0385501660581,1,81.5,2.68764023987,1,124.599853,4.16819492716,1,,,0
1993-08-17,3113.899902,3167.800049,3105.800049,3167.0,0.0,3167.0,1.199951,0.0385501660581,1,55.299804,1.80801027359,1,124.599853,4.16819492716,1,,,0,52.800049,1.69502565008,1,80.400147,2.60413777133,1,164.900147,5.49136342807,1,,,0,10.800049,0.348951502423,1,47.199951,1.54318804315,1,119.5,4.00160727453,1,,,0,53.100098,1.70526027397,1,80.0,2.59151279559,1,164.100098,5.46472088166,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,53.100098,1.70526027397,1,80.0,2.59151279559,1,164.100098,5.46472088166,1,,,0
