Date,Open,High,Low,Close,Volume,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD1_High,RD_P1_High,RD_B1_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Open,RD_P3_Open,RD_B3_Open,RD3_High,RD_P3_High,RD_B3_High,RD3_Low,RD_P3_Low,RD_B3_Low,RD3_Close,RD_P3_Close,RD_B3_Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Open,RD_P5_Open,RD_B5_Open,RD5_High,RD_P5_High,RD_B5_High,RD5_Low,RD_P5_Low,RD_B5_Low,RD5_Close,RD_P5_Close,RD_B5_Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Open,RD_P30_Open,RD_B30_Open,RD30_High,RD_P30_High,RD_B30_High,RD30_Low,RD_P30_Low,RD_B30_Low,RD30_Close,RD_P30_Close,RD_B30_Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-08-13,448.970001,450.25,448.970001,450.140015,214370000.0,450.140015,-1.5,-0.332985547688,0,-1.380005,-0.305560964666,0,1.440002,0.321766586199,1,1.180024,0.262835001705,1,1.180024,0.262835001705,1,-1.73999,-0.386055342625,0,-0.459991,-0.10205919753,0,-0.130005,-0.0289478954048,0,0.690003,0.153521633458,1,0.690003,0.153521633458,1,0.839996,0.187444712612,1,0.98999,0.220360142894,1,1.100006,0.245608326586,1,1.460022,0.325403856374,1,1.460022,0.325403856374,1,,,0,,,0,,,0,,,0,,,0
1993-08-16,450.25,453.410004,450.25,452.380005,233640000.0,452.380005,1.279999,0.285096776433,1,3.160004,0.701833203776,1,1.279999,0.285096776433,1,2.23999,0.497620723632,1,2.23999,0.497620723632,1,0.649994,0.144571617288,1,2.410004,0.534368957871,1,0.649994,0.144571617288,1,1.920014,0.426234080354,1,1.920014,0.426234080354,1,1.570007,0.349916872714,1,1.899994,0.420808832123,1,1.940002,0.432736724288,1,1.660004,0.368300496165,1,1.660004,0.368300496165,1,,,0,,,0,,,0,,,0,,,0
1993-08-17,452.380005,453.700012,451.959991,453.130005,261320000.0,453.130005,2.130005,0.473071626874,1,0.290008,0.0639615353524,1,1.709991,0.379787007218,1,0.75,0.165789820883,1,0.75,0.165789820883,1,1.910004,0.424002485351,1,2.070007,0.458341336289,1,4.429992,0.989875988179,1,4.170014,0.928816394243,1,4.170014,0.928816394243,1,1.670014,0.370529616238,1,2.990021,0.663402422779,1,2.859985,0.636825865462,1,3.679993,0.818776927744,1,3.679993,0.818776927744,1,,,0,,,0,,,0,,,0,,,0
1993-08-18,453.209991,456.98999,453.209991,456.040009,312940000.0,456.040009,0.829986,0.183470973701,1,3.289978,0.725143908526,1,1.25,0.276573153574,1,2.910004,0.642200685872,1,2.910004,0.642200685872,1,4.23999,0.944381582412,1,6.73999,1.49694392004,1,4.23999,0.944381582412,1,5.899994,1.31070196014,1,5.899994,1.31070196014,1,3.609985,0.802932596046,1,5.98999,1.32815742794,1,3.609985,0.802932596046,1,5.580018,1.23873775951,1,5.580018,1.23873775951,1,11.809997,2.67557706401,1,13.359985,3.01151519271,1,11.809997,2.67557706401,1,13.210022,2.98309111573,1,13.210022,2.98309111573,1
1993-08-19,456.01001,456.76001,455.200012,456.429993,293330000.0,456.429993,2.800019,0.61781934547,1,-0.22998,-0.0503249535072,0,1.990021,0.43909468889,1,0.389984,0.0855153039873,1,0.389984,0.0855153039873,1,5.76001,1.27929150472,1,3.350006,0.738846953187,1,4.950012,1.09939189339,1,4.049988,0.895262380131,1,4.049988,0.895262380131,1,5.540009,1.22982862071,1,5.130005,1.13588666457,1,7.670013,1.71385449403,1,7.470002,1.66384581026,1,7.470002,1.66384581026,1,13.170014,2.97398927806,1,8.119995,1.809913233,1,12.360016,2.79107942183,1,7.789978,1.73635381142,1,7.789978,1.73635381142,1
1993-08-20,456.51001,456.679993,454.600006,456.160004,276800000.0,456.160004,0.5,0.109646715869,1,-0.080017,-0.0175183900184,0,-0.600006,-0.131811507949,0,-0.269989,-0.0591523353287,0,-0.269989,-0.0591523353287,0,4.130005,0.912950385595,1,2.979981,0.656817483179,1,2.640015,0.584125819225,1,3.029999,0.668682048544,1,3.029999,0.668682048544,1,7.540009,1.67940151529,1,6.429993,1.42809394781,1,5.630005,1.25398244592,1,6.019989,1.33735922144,1,6.019989,1.33735922144,1,7.869995,1.7541892691,1,7.739991,1.72405910935,1,7.860016,1.75941625463,1,8.050019,1.79643821148,1,8.050019,1.79643821148,1
1993-08-23,456.119995,456.119995,454.290009,455.230011,212500000.0,455.230011,-0.390015,-0.0854340521471,0,-0.559998,-0.122623720895,0,-0.309997,-0.0681911561611,0,-0.929993,-0.203874296704,0,-0.929993,-0.203874296704,0,2.910004,0.642087345334,1,-0.869995,-0.190375067078,0,1.080018,0.238304102171,1,-0.809998,-0.177615556533,0,-0.809998,-0.177615556533,0,5.869995,1.30371904498,1,2.709991,0.597691046976,1,4.040009,0.897281288173,1,2.850006,0.630002645674,1,2.850006,0.630002645674,1,7.98999,1.7829625133,1,7.01001,1.56086710029,1,6.580018,1.46970541919,1,6.25,1.39204415495,1,6.25,1.39204415495,1
1993-08-24,455.230011,459.769989,455.040009,459.769989,270700000.0,459.769989,-0.889984,-0.195120584442,0,3.649994,0.800226703502,1,0.75,0.165092778873,1,4.539978,0.997293212288,1,4.539978,0.997293212288,1,-0.779999,-0.171048657463,0,3.009979,0.658984791598,1,-0.160003,-0.0351500430101,0,3.339996,0.731765232615,1,3.339996,0.731765232615,1,2.850006,0.630002645674,1,6.069977,1.33788336774,1,3.080018,0.681480233059,1,6.639984,1.46535959366,1,6.639984,1.46535959366,1,6.230011,1.38753028953,1,9.069977,2.01241995973,1,6.970002,1.55556093716,1,11.679993,2.60661766705,1,11.679993,2.60661766705,1
1993-08-25,459.75,462.040009,459.299988,460.130005,301650000.0,460.130005,4.519989,0.99290224519,1,2.27002,0.493729485245,1,4.259979,0.936176801104,1,0.360016,0.0783035014493,1,0.360016,0.0783035014493,1,3.23999,0.7097303299,1,5.360016,1.173691881,1,4.699982,1.03387196172,1,3.970001,0.870308875217,1,3.970001,0.870308875217,1,6.540009,1.44304166498,1,5.050019,1.10506118526,1,6.089997,1.34374729616,1,4.089996,0.896850258592,1,4.089996,0.896850258592,1,11.670013,2.60444861154,1,10.920014,2.42064508801,1,11.220001,2.50401743562,1,10.050018,2.23294043065,1,10.050018,2.23294043065,1
1993-08-26,460.040009,462.869995,458.820007,461.040009,254070000.0,461.040009,0.290009,0.0630797172376,1,0.829986,0.179635093029,1,-0.479981,-0.104502724263,0,0.910004,0.19777106255,1,0.910004,0.19777106255,1,3.920014,0.859426037659,1,6.75,1.47987373367,1,4.529998,0.997159944145,1,5.809998,1.27627745527,1,5.809998,1.27627745527,1,4.029999,0.883752310613,1,6.109985,1.33767949607,1,3.619995,0.795253713658,1,4.610016,1.01001600918,1,4.610016,1.01001600918,1,9.950013,2.21067188527,1,12.75,2.83257801067,1,11.559997,2.58462566327,1,11.820008,2.63122923594,1,11.820008,2.63122923594,1
1993-08-27,461.049988,461.049988,459.190002,460.540009,196140000.0,460.540009,1.009979,0.219541557308,1,-1.820007,-0.393200470901,0,0.369995,0.0806405549791,1,-0.5,-0.108450457713,0,-0.5,-0.108450457713,0,5.819977,1.27846953394,1,1.279999,0.278399858761,1,4.149993,0.912006179219,1,0.77002,0.167479395877,1,0.77002,0.167479395877,1,4.539978,0.994496922422,1,4.369995,0.956905287506,1,4.589996,1.00967794532,1,4.380005,0.960190494912,1,4.380005,0.960190494912,1,11.979981,2.66773126979,1,11.970001,2.66544966298,1,13.529998,3.03594620979,1,14.790009,3.31800538418,1,14.790009,3.31800538418,1
1993-08-30,460.540009,462.579987,460.279999,461.899994,194180000.0,461.899994,-0.509979,-0.110612517791,0,1.529999,0.331851000937,1,1.089997,0.237373852926,1,1.359985,0.295302248105,1,1.359985,0.295302248105,1,0.790009,0.171834475258,1,0.539978,0.11686823424,1,0.980011,0.213370569476,1,1.769989,0.384671501699,1,1.769989,0.384671501699,1,4.420014,0.969046314227,1,6.459992,1.41629221933,1,5.98999,1.31853879269,1,6.669983,1.46518964893,1,6.669983,1.46518964893,1,14.790009,3.31800538418,1,15.799988,3.53641345525,1,15.450012,3.4732397661,1,15.869995,3.55805551994,1,15.869995,3.55805551994,1
1993-08-31,461.899994,463.559998,461.290009,463.559998,252830000.0,463.559998,1.359985,0.295302248105,1,0.980011,0.211857630581,1,1.01001,0.219433823367,1,1.660004,0.359386018957,1,1.660004,0.359386018957,1,1.859985,0.404309399968,1,0.690003,0.149070582983,1,2.470002,0.538337902078,1,2.519989,0.546587920963,1,2.519989,0.546587920963,1,6.669983,1.46518964893,1,3.790009,0.824327183304,1,6.25,1.37350559871,1,3.790009,0.824327183304,1,3.790009,0.824327183304,1,15.869995,3.55805551994,1,15.929993,3.55874110807,1,17.580018,3.9620514202,1,16.25,3.63282736193,1,16.25,3.63282736193,1
1993-09-01,463.549988,463.799988,461.769989,463.149994,245040000.0,463.149994,1.649994,0.357218883185,1,0.23999,0.0517710762437,1,0.47998,0.104051679125,1,-0.410004,-0.0884468033844,0,-0.410004,-0.0884468033844,0,2.5,0.542240552016,1,2.75,0.596464607217,1,2.579987,0.56185609198,1,2.609985,0.566722749163,1,2.609985,0.566722749163,1,3.799988,0.826533550843,1,1.759979,0.380914848437,1,2.470001,0.537775106582,1,3.019989,0.656333855037,1,3.019989,0.656333855037,1,16.269989,3.63754002781,1,16.299988,3.64245541899,1,15.929993,3.57302914564,1,15.970001,3.57126911982,1,15.970001,3.57126911982,1
1993-09-02,463.130005,463.540009,461.070007,461.299988,259870000.0,461.299988,-0.419983,-0.0906014477127,0,-0.259979,-0.0560541196047,0,-0.699982,-0.151586724273,0,-1.850006,-0.399439927446,0,-1.850006,-0.399439927446,0,2.589996,0.562382409646,1,0.960022,0.207536431964,1,0.790008,0.171636395611,1,-0.600006,-0.129899547044,0,-0.600006,-0.129899547044,0,3.089996,0.671679840785,1,0.670014,0.144752091783,1,2.25,0.490388380121,1,0.259979,0.0563896830915,1,0.259979,0.0563896830915,1,15.950012,3.56679910767,1,16.309998,3.64689256062,1,17.350006,3.9101248447,1,16.789978,3.77718782981,1,16.789978,3.77718782981,1
1993-09-03,461.299988,462.049988,459.910004,461.339996,197160000.0,461.339996,-1.830017,-0.395141100823,0,-1.490021,-0.321443882096,0,-1.160003,-0.2515893427,0,0.040008,0.00867288121412,1,0.040008,0.00867288121412,1,-0.600006,-0.129899547044,0,-1.51001,-0.325742084415,0,-1.380005,-0.299162126444,0,-2.220002,-0.478902840965,0,-2.220002,-0.478902840965,0,0.25,0.0542240552016,1,1.0,0.216896220806,1,0.720002,0.156798274541,1,0.799987,0.173706297904,1,0.799987,0.173706297904,1,16.759979,3.77018460896,1,14.949982,3.34376689765,1,15.369995,3.45750544132,1,14.23999,3.18496752603,1,14.23999,3.18496752603,1
