Date,Value
7/1/1986,142845400
8/1/1986,134628500
9/1/1986,156723800
10/1/1986,137562600
11/1/1986,159703100
12/1/1986,154548600
1/1/1987,200203800
2/1/1987,190952600
3/1/1987,188040900
4/1/1987,195942800
5/1/1987,178560000
6/1/1987,170931800
7/1/1987,188559000
8/1/1987,201342800
9/1/1987,186014200
10/1/1987,290813600
11/1/1987,192921500
12/1/1987,186222200
1/1/1988,185329000
2/1/1988,196464500
3/1/1988,182296900
4/1/1988,169819000
5/1/1988,165665700
6/1/1988,206096300
7/1/1988,176540500
8/1/1988,150345600
9/1/1988,154057100
10/1/1988,169458000
11/1/1988,141934700
12/1/1988,141529000
1/1/1989,177441400
2/1/1989,177037300
3/1/1989,167067700
4/1/1989,169782000
5/1/1989,177720400
6/1/1989,188049000
7/1/1989,170784000
8/1/1989,177996500
9/1/1989,159516500
10/1/1989,190398600
11/1/1989,151683800
12/1/1989,167968000
1/1/1990,181041300
2/1/1990,165600500
3/1/1990,155573600
4/1/1990,146199000
5/1/1990,171016800
6/1/1990,160561400
7/1/1990,168768000
8/1/1990,178727800
9/1/1990,151916300
10/1/1990,166376500
11/1/1990,159075700
12/1/1990,161542000
1/1/1991,175606300
2/1/1991,237928900
3/1/1991,203880500
4/1/1991,191855400
5/1/1991,180868100
6/1/1991,170287500
7/1/1991,165125000
8/1/1991,176133600
9/1/1991,169418500
10/1/1991,184610400
11/1/1991,189830500
12/1/1991,209394700
1/1/1992,247368600
2/1/1992,234001000
3/1/1992,192259500
4/1/1992,215502300
5/1/1992,191438000
6/1/1992,200209500
7/1/1992,201045400
8/1/1992,181093300
9/1/1992,199083300
10/1/1992,212150000
11/1/1992,218204500
12/1/1992,227053600
1/1/1993,274988000
2/1/1993,294275700
3/1/1993,258309500
4/1/1993,287085200
5/1/1993,265250500
6/1/1993,264065000
7/1/1993,264088500
8/1/1993,260793600
9/1/1993,276908000
10/1/1993,295792300
11/1/1993,294165700
12/1/1993,270919000
1/1/1994,331091900
2/1/1994,322085700
3/1/1994,332746000
4/1/1994,317263100
5/1/1994,280677100
6/1/1994,279192700
7/1/1994,262081000
8/1/1994,293590400
9/1/1994,307093300
10/1/1994,316010400
11/1/1994,312217600
12/1/1994,314557100
1/1/1995,345693300
2/1/1995,350035700
3/1/1995,353969500
4/1/1995,348205200
5/1/1995,359606800
6/1/1995,357505400
7/1/1995,379761000
8/1/1995,323356000
9/1/1995,369478000
10/1/1995,382475000
11/1/1995,381427100
12/1/1995,377297500
1/1/1996,439102700
2/1/1996,460809500
3/1/1996,447510000
4/1/1996,441431400
5/1/1996,421495000
6/1/1996,419958000
7/1/1996,391764000
8/1/1996,347214000
9/1/1996,423201000
10/1/1996,443384300
11/1/1996,452968000
12/1/1996,451853800
1/1/1997,555111800
2/1/1997,538249400
3/1/1997,529324500
4/1/1997,501112200
5/1/1997,506850400
6/1/1997,543785200
7/1/1997,568452200
8/1/1997,524762300
9/1/1997,570023800
10/1/1997,637188200
11/1/1997,545404700
12/1/1997,564825400
1/1/1998,667360500
2/1/1998,643738400
3/1/1998,654296300
4/1/1998,683412300
5/1/1998,601696000
6/1/1998,650416800
7/1/1998,674577700
8/1/1998,761383300
9/1/1998,834008500
10/1/1998,853938600
11/1/1998,706959000
12/1/1998,722756800
1/1/1999,901605200
2/1/1999,807392600
3/1/1999,822904300
4/1/1999,926652300
5/1/1999,826511000
6/1/1999,781644000
7/1/1999,765225200
8/1/1999,758193100
9/1/1999,831252300
10/1/1999,950119000
11/1/1999,920777100
12/1/1999,909760900
1/1/2000,1124410000
2/1/2000,1105815000
3/1/2000,1190591300
4/1/2000,1110055700
5/1/2000,948127200
6/1/2000,1054454500
7/1/2000,1002085000
8/1/2000,930960800
9/1/2000,1101770000
10/1/2000,1241718100
11/1/2000,1034230000
12/1/2000,1162065500
